naam,land,plaats,categorie,functie,type,bouwjaar,lon,lat
De Trouwe Waghter of Trouwe Wachter,Nederland,Tienhoven,windmolen,poldermolen,wipmolen,1832,5.082587,52.1667429
Molen Gabriël of Voorste Molen,Nederland,Kortenhoef,windmolen,poldermolen,8-kante grondzeiler binnenkruier,1635,5.09164,52.2299147
Loenderveense Molen,Nederland,Loenen aan de Vecht,windmolen,poldermolen,8-kante grondzeiler,1652,5.0231899,52.2110379
De Slokop,Nederland,Spaarndam,windmolen,poldermolen,8-kante grondzeiler,1877,4.6907363,52.4135122
Westveense Molen,Nederland,Woerdense Verlaat,windmolen,poldermolen,wipmolen,1676,4.8652793,52.1546301
Kockengense Molen,Nederland,Kockengen,windmolen,poldermolen,wipmolen,1675,4.9505616,52.1482984
Spengense Molen,Nederland,Kockengen,windmolen,poldermolen,wipmolen,1841,4.9505616,52.1482984
Kortrijkse Molen,Nederland,Breukelen,windmolen,poldermolen,wipmolen,1675,5.0013289,52.1710222
De Woudaap,Nederland,Krommeniedijk,windmolen,poldermolen,8-kante grondzeiler binnenkruier,1651,4.7598186,52.5170601
De Tweede Broekermolen,Nederland,Uitgeest,windmolen,poldermolen,8-kante grondzeiler binnenkruier,1631,4.7120459,52.5312254
De Dog,Nederland,Uitgeest,windmolen,poldermolen,8-kante grondzeiler,1896,4.7120459,52.5312254
De Dorregeester Molen,Nederland,Uitgeest / Dorregeest,windmolen,poldermolen,8-kante grondzeiler,1896,4.7120459,52.5312254
De Noordermolen,Nederland,Akersloot,windmolen,poldermolen,8-kante grondzeiler,1589,4.7338008,52.5609159
De Groot / Molen van Piet,Nederland,Alkmaar,windmolen,korenmolen,ronde stenen stellingmolen,1769,4.7533754,52.6323813
Molen van Polder Breeveld / Breeveldse Molen,Nederland,Woerden,windmolen,poldermolen,8-kante grondzeiler,1864,4.8627239,52.0798287
De Windhond,Nederland,Woerden,windmolen,korenmolen,ronde stenen stellingmolen,1755,4.8627239,52.0798287
De Arkduif,Nederland,Bodegraven,windmolen,korenmolen,ronde stenen stellingmolen,1697,4.7460844,52.0823259
De Dikke Molen,Nederland,Zwammerdam / Alphen aan den Rijn,windmolen,poldermolen,8-kante grondzeiler,1674,4.7292718,52.1055397
Molen No. 3 ( bovenmolen ),Nederland,Aarlanderveen,windmolen,poldermolen,8-kante grondzeiler,1823,4.728984,52.1409426
Molen Nr. 2 ( middenmolen ),Nederland,Aarlanderveen,windmolen,poldermolen,8-kante grondzeiler,1869,4.728984,52.1409426
Molen No. 4 ( de Put ),Nederland,Aarlanderveen,windmolen,poldermolen,8-kante grondzeiler,1801,4.728984,52.1409426
Steektermolen,Nederland,Alphen aan den Rijn,windmolen,poldermolen,wipmolen,1597,4.6472507,52.111222
De Eendracht,Nederland,Alphen aan den Rijn,windmolen,korenmolen,8-kante stellingmolen,1898,4.6472507,52.111222
Gnephoekse Molen,Nederland,Alphen aan den Rijn,windmolen,poldermolen,8-kante grondzeiler,1847,4.6472507,52.111222
Vrouwgeestmolen,Nederland,Alphen aan den Rijn,windmolen,poldermolen,8-kante grondzeiler,1797,4.6472507,52.111222
De Rijnenburgermolen,Nederland,Hazerswoude-Rijndijk,windmolen,poldermolen,8-kante grondzeiler,1722,4.6206696,52.1167991
Hondsdijksemolen,Nederland,Koudekerk aan den Rijn,windmolen,poldermolen,8-kante grondzeiler binnenkruier,1693,4.5983776,52.1322767
De Groenendijkse Molen,Nederland,Hazerswoude-Rijndijk,windmolen,poldermolen,wipmolen,1627,4.6206696,52.1167991
Barremolen,Nederland,Zoeterwoude-Rijndijk,windmolen,poldermolen,8-kante grondzeiler,1661,4.5289724,52.1392993
De Valk (Museummolen),Nederland,Leiden,windmolen,korenmolen,ronde stenen stellingmolen,1743,4.4970097000000004,52.1601144
Stevenshofjesmolen,Nederland,Leiden,windmolen,poldermolen,ronde stenen grondzeiler,1797,4.4970097000000004,52.1601144
Oog in 't Zeil,Nederland,Cothen,windmolen,korenmolen,ronde stenen stellingmolen,1869,5.3080065,51.9981708
De Broekmolen / Polder Papekop en Diemerbroek,Nederland,Woerden,windmolen,poldermolen,8-kante grondzeiler,1875,4.8627239,52.0798287
Haastrechtse Molen,Nederland,Gouda,windmolen,poldermolen,ronde stenen stellingmolen,1862,4.7104633,52.0115205
't Slot,Nederland,Gouda,windmolen,korenmolen,ronde stenen stellingmolen,1832,4.7104633,52.0115205
't Hert,Nederland,Putten,windmolen,korenmolen,8-kante stellingmolen,1899,5.5684824,52.2453008
Bovenmolen E,Nederland,Schermerhorn,windmolen,poldermolen,8-kante grondzeiler binnenkruier,1634,4.8897768,52.6005503
Poldermolen D,Nederland,Stompetoren,windmolen,poldermolen,8-kante grondzeiler binnenkruier,1635,4.8216171,52.6128907
Poldermolen E,Nederland,Stompetoren,windmolen,poldermolen,8-kante grondzeiler binnenkruier,1635,4.8216171,52.6128907
Poldermolen M,Nederland,Zuidschermer (Stompetoren),windmolen,poldermolen,8-kante grondzeiler binnenkruier,1635,4.7812001,52.5843905
De Menningweermolen,Nederland,Grootschermer,windmolen,poldermolen,8-kante grondzeiler binnenkruier,1888,4.849897,52.5821507
Strijkmolen L,Nederland,Rustenburg,windmolen,poldermolen,8-kante grondzeiler binnenkruier,1631,4.877689,52.6348933
Strijkmolen K,Nederland,Rustenburg,windmolen,poldermolen,8-kante grondzeiler binnenkruier,1631,4.877689,52.6348933
Strijkmolen I,Nederland,Rustenburg,windmolen,poldermolen,8-kante grondzeiler binnenkruier,1864,4.877689,52.6348933
De Otter,Nederland,Oterleek,windmolen,korenmolen,8-kante grondzeiler,1900,4.8348999,52.6368592
Strijkmolen Geestmerambacht / Ambachtsmolen,Nederland,Oudorp (Alkmaar),windmolen,poldermolen,8-kante grondzeiler binnenkruier,1632,4.7736544,52.6303937
Sint Victor,Nederland,Heeze,windmolen,korenmolen,ronde stenen beltmolen,1852,5.5758263,51.3809718
Sint Anna,Nederland,Weert-Keent,windmolen,korenmolen,ronde stenen beltmolen,1912,5.7005166,51.2415378
Sint Anna,Nederland,Tungelroy,windmolen,korenmolen,ronde stenen beltmolen,1875,5.7310347,51.2131008
De Nijverheid/Molen van Nijs,Nederland,Stramproy,windmolen,korenmolen,ronde stenen beltmolen,1903,5.722053,51.1943225
Sint Jan,Nederland,Stramproy,windmolen,korenmolen,standerdmolen (gesloten),1804,5.722053,51.1943225
Sint Hubertus,Nederland,Klein Genhout,windmolen,korenmolen,standerdmolen (half gesloten),1801,5.8088367,50.9269991
Standerdmolen Urmond,Nederland,Urmond,windmolen,korenmolen,standerdmolen (half gesloten),1805,5.7769151,50.9904464
De Hompesche  Molen,Nederland,Stevensweert,windmolen,korenmolen,ronde stenen stellingmolen,1722,5.8456817,51.13123
Leonardusmolen,Nederland,Maasbracht,windmolen,korenmolen,ronde stenen beltmolen,1867,5.888583,51.1404101
Kapelse Meule / Kepelse Meule,Nederland,Roermond,windmolen,korenmolen,ronde stenen beltmolen,1882,5.9877715,51.1913202
Vlodroppermolen,Nederland,Vlodrop,watermolen,korenmolen,watergedreven molen met turbine,1875,6.0757908,51.1331277
Sint Antonius,Nederland,Kessel,windmolen,korenmolen,standerdmolen (gesloten),1878,6.0540036,51.2926693
Eendracht Maakt Macht,Nederland,Meterik,windmolen,korenmolen,ronde stenen beltmolen,1899,6.0249317,51.4552708
Molen  van den Berg / Zelden Goed,Nederland,Boxmeer,windmolen,korenmolen,ronde stenen beltmolen,1857,5.9566657,51.6452689
d' Admiraal,Nederland,Amsterdam-Buiksloot,windmolen,krijtmolen,8-kante stellingmolen,1792,4.9179696,52.4062945
Johanna,Nederland,Culemborg,windmolen,korenmolen,ronde stenen grondzeiler,1888,5.2400448,51.9561076
De Renkumse Molen (vh. De Hoop),Nederland,Renkum,windmolen,korenmolen,ronde stenen stellingmolen,1858,5.739978,51.9829826
De Witte Molen,Nederland,Nijmegen,windmolen,korenmolen,ronde stenen stellingmolen,1760,5.8428281,51.8448837
De Zuidmolen,Nederland,Groesbeek,windmolen,korenmolen,ronde stenen beltmolen,1857,5.9347988,51.7784317
De Zwaan,Nederland,Ouderkerk aan de Amstel,windmolen,poldermolen,8-kante grondzeiler,1638,4.915337,52.2947295
Stammermolen,Nederland,Diemen,windmolen,poldermolen,8-kante grondzeiler,1875,4.9591888,52.3389926
Garstenmolen,Nederland,Nigtevecht,windmolen,poldermolen,8-kante grondzeiler,1876,5.0285536,52.2738533
Hoekermolen,Nederland,Vreeland,windmolen,poldermolen,8-kante grondzeiler,1874,5.0284187,52.2303508
De Aalstermolen,Nederland,Aalst,windmolen,korenmolen,ronde stenen beltmolen,1904,5.1260223,51.7822878
De Venbergse Watermolen,Nederland,Valkenswaard,watermolen,korenmolen,watergedreven molen met onderslagrad,1895,5.4533268,51.3554957
De Grebmolen,Nederland,Schoorldam,windmolen,poldermolen,8-kante grondzeiler,1875,4.7175174,52.7076592
Molen F,Nederland,Burgerbrug,windmolen,poldermolen,8-kante grondzeiler binnenkruier,1890,4.7032325,52.7479569
Molen L-Q,Nederland,Burgervlotbrug,windmolen,poldermolen,8-kante grondzeiler binnenkruier,1597,4.6817412,52.7535922
De Onderneming,Nederland,Hippolytushoef,windmolen,korenmolen,8-kante grondzeiler,1851,4.9628723,52.9076257
Molen van de Slootgaardpolder,Nederland,Waarland,windmolen,poldermolen,8-kante grondzeiler,1590,4.8335986,52.725898
Molen D Polder Geestmerambacht,Nederland,Broek op Langedijk,windmolen,poldermolen,8-kante grondzeiler binnenkruier,1868,4.8057784,52.6741159
De Zandhaas,Nederland,Santpoort-Noord,windmolen,korenmolen,8-kante stellingmolen,1779,4.6081788,52.436914
Koningin Wilhelmina,Nederland,Dongen,windmolen,korenmolen,ronde stenen stellingmolen,1893,4.9382385,51.6287097
De Hoop / Victoria,Nederland,Oosteind,windmolen,korenmolen,ronde stenen stellingmolen,1890,4.9036273,51.6460883
De Eendragt,Nederland,Kaatsheuvel,windmolen,korenmolen,ronde stenen stellingmolen,1870,5.0305936000000004,51.6571154
De Couwenberg,Nederland,Kaatsheuvel,windmolen,korenmolen,ronde stenen beltmolen,1849,5.0305936000000004,51.6571154
Dye Sprancke,Nederland,Sprang-Capelle,windmolen,korenmolen,standerdmolen (gesloten),1747,5.0113884,51.680119
Hertogin van Brabant,Nederland,Drunen,windmolen,korenmolen,ronde stenen beltmolen,1838,5.137751,51.6869459
Bronkhorstermolen,Nederland,Steenderen,windmolen,korenmolen,ronde stenen beltmolen,1844,6.1896971,52.0643561
Agneta,Nederland,Ruurlo,windmolen,koren- houtzaagmolen,ronde stenen stellingmolen,1851,6.4548904,52.081603
De Warkense Molen,Nederland,Warken/Warnsveld,windmolen,korenmolen,8-kante grondzeiler,1878,6.2237936,52.1399988
De Zwaan,Nederland,Voorst,windmolen,korenmolen,8-kante stellingmolen,1904,6.0990505,52.2252712
Hilmahuistermolen,Nederland,Visvliet,windmolen,poldermolen,8-kante grondzeiler,1868,6.2507037,53.2663232
De Kievit,Nederland,Grijpskerk,windmolen,korenmolen,8-kante stellingmolen,1899,6.306376,53.2636135
De Fortuna,Nederland,Noordhorn,windmolen,koren- pelmolen,8-kante stellingmolen,1890,6.3953353,53.2608598
Wilhelmina (De Leeuw),Nederland,Noorderhoogebrug,windmolen,korenmolen,8-kante stellingmolen,1907,6.5716156,53.2434343
Aeolus,Nederland,Adorp,windmolen,koren- pelmolen,8-kante stellingmolen,1851,6.5339811,53.2746405
Zeldenrust,Nederland,Westerwijtwerd,windmolen,koren- pelmolen,8-kante stellingmolen,1845,6.6445489,53.3339842
De Palen,Nederland,Westerwijtwerd,windmolen,poldermolen,8-kante grondzeiler,1882,6.6445489,53.3339842
Stormvogel,Nederland,Loppersum,windmolen,koren- pelmolen,8-kante stellingmolen,1850,6.7479874,53.3321749
De Leeuw,Nederland,Zeerijp,windmolen,koren- pelmolen,8-kante stellingmolen,1865,6.7621522,53.3479644
Grote Geert,Nederland,Kantens,windmolen,koren- pelmolen,8-kante stellingmolen,1818,6.6337947,53.3654395
Hunsingo (vh. Molen Haitsma),Nederland,Onderdendam,windmolen,korenmolen,8-kante stellingmolen,1855,6.5888657,53.334958
Zilvermeeuw,Nederland,Onderdendam,windmolen,poldermolen,8-kante grondzeiler,1870,6.5888657,53.334958
't Witte Lam/Meulentje,Nederland,Zuidwolde,windmolen,poldermolen,8-kante grondzeiler,1860,6.4258818,52.6743159
De Jonge Held,Nederland,Groningen/Leegkerk,windmolen,poldermolen,8-kante grondzeiler,1829,6.4901426,53.2299047
Zuidwendinger Molen,Nederland,Vierverlaten,windmolen,poldermolen,8-kante grondzeiler,1819,6.4875749,53.2119917
De Eolus,Nederland,Den Ham,windmolen,poldermolen,8-kante grondzeiler,1821,6.4942602,52.4643982
Joeswert,Nederland,Feerwerd,windmolen,koren- pelmolen,8-kante stellingmolen,1855,6.4660335,53.306512
De Leeuw,Nederland,Oldehove,windmolen,koren- pelmolen,8-kante stellingmolen,1855,6.3962634,53.3037688
Aeolus,Nederland,Oldehove,windmolen,korenmolen,8-kante stellingmolen,1846,6.3962634,53.3037688
Hollands Welvaart,Nederland,Mensingeweer,windmolen,koren- pelmolen,8-kante stellingmolen,1855,6.4648158,53.3516434
De Lelie,Nederland,Eenrum,windmolen,korenmolen,8-kante stellingmolen,1862,6.4610716,53.3646973
De Zwaluw,Nederland,Zuurdijk,windmolen,koren- pelmolen,8-kante stellingmolen,1858,6.3770336,53.3376067
De Onderneming,Nederland,Vierhuizen,windmolen,korenmolen,8-kante stellingmolen,1858,6.2912261,53.3602891
De Vier Winden,Nederland,Pieterburen,windmolen,koren- pelmolen,8-kante stellingmolen,1846,6.4538674,53.4007222
De Jonge Hendrik,Nederland,Den Andel,windmolen,koren- pelmolen,8-kante stellingmolen,1875,6.5088277,53.3929082
Eva,Nederland,Usquert,windmolen,koren- pelmolen,8-kante stellingmolen,1891,6.6120412,53.4034398
Windlust,Nederland,Zandeweer,windmolen,koren- pelmolen,8-kante stellingmolen,1818,6.6811208,53.3875127
De Liefde,Nederland,Uithuizen,windmolen,koren- pelmolen,8-kante stellingmolen,1866,6.6628402,53.406165
Kloostermolen,Nederland,Garrelsweer,windmolen,poldermolen,8-kante grondzeiler,1877,6.7695588,53.3110984
De Meervogel,Nederland,Garrelsweer/Hoeksmeer,windmolen,poldermolen,8-kante grondzeiler,1801,6.7695588,53.3110984
Olle Widde,Nederland,Ten Post/Kroddeburen,windmolen,korenmolen,ronde stenen stellingmolen,1812,6.7293486,53.2967087
Langelandster Molen,Nederland,Garmerwolde,windmolen,poldermolen,8-kante grondzeiler,1829,6.6482078,53.2486932
Widde Meuln,Nederland,Ten Boer,windmolen,korenmolen,ronde stenen stellingmolen,1839,6.6925996,53.2758879
Fram,Nederland,Woltersum,windmolen,koren- houtzaagmolen,8-kante stellingmolen,1867,6.7315116,53.2708216
Fraeylemamolen/Meneersmeulen/Lutje Molen,Nederland,Slochteren,windmolen,poldermolen,8-kante grondzeiler,1786,6.8020397,53.2121481
De Groote Polder,Nederland,Slochteren,windmolen,poldermolen,8-kante grondzeiler,1783,6.8020397,53.2121481
De Noordstar,Nederland,Noordbroek,windmolen,koren- pelmolen,8-kante stellingmolen,1849,6.8729857,53.1982756
Udema's Molen,Nederland,Ganzedijk,windmolen,koren- pelmolen,8-kante stellingmolen,1868,7.1211924,53.2081555
Molen Berg,Nederland,Winschoten,windmolen,koren- pelmolen,8-kante stellingmolen,1854,7.0367877,53.1424984
Molen Dijkstra (vh. Westerhuis),Nederland,Winschoten,windmolen,koren- pelmolen,8-kante stellingmolen,1862,7.0367877,53.1424984
Molen Edens (vh. De Volharding),Nederland,Winschoten,windmolen,korenmolen,8-kante stellingmolen,1762,7.0367877,53.1424984
De Onrust,Nederland,Oude Pekela,windmolen,korenmolen,8-kante stellingmolen,1850,7.0064744,53.1032425
Nieman's Meul'n,Nederland,Veelerveen,windmolen,korenmolen,8-kante stellingmolen,1916,7.1265808,53.0566004
De Korenbloem,Nederland,Vriescheloo,windmolen,korenmolen,8-kante stellingmolen,1895,7.1148494,53.0707014
Weddermarke,Nederland,Wedderbergen,windmolen,poldermolen,8-kante grondzeiler,1898,7.0827347,53.0859468
De Noordermolen,Nederland,Noordbroek/Noordbroeksterhamrik,windmolen,poldermolen,8-kante grondzeiler,1805,6.8729857,53.1982756
Westerse Molen/Zeldenrust,Nederland,Nieuw-Scheemda,windmolen,poldermolen,8-kante grondzeiler,1862,6.9468719,53.2045275
Windlust,Nederland,Overschild,windmolen,korenmolen,8-kante stellingmolen,1859,6.7853193,53.2821234
Olinger Koloniemolen,Nederland,Laskwerd,windmolen,poldermolen,8-kante grondzeiler,1900,6.8460789,53.2914658
Polder de Vereeniging,Nederland,Borgercompagnie,windmolen,poldermolen,ronde stenen grondzeiler,1872,6.8055932,53.1342843
De Biks,Nederland,Onnen,windmolen,poldermolen,8-kante grondzeiler,1857,6.6434991,53.1547795
Noordermolen,Nederland,Noorddijk,windmolen,poldermolen,8-kante grondzeiler,1888,6.6272988,53.2442291
Stel's Molen,Nederland,Harkstede,windmolen,koren- pelmolen,8-kante stellingmolen,1851,6.7004451,53.2138533
De Boezemvriend,Nederland,De Groeve,windmolen,poldermolen,8-kante grondzeiler,1871,6.7113367,53.1110383
De Wachter,Nederland,Zuidlaren,windmolen,koren- oliemolen,8-kante stellingmolen,1851,6.6848434,53.0941274
De Zwaluw,Nederland,Oudemolen,windmolen,korenmolen,8-kante grondzeiler,1837,4.4590927,51.6648557
Molen van Rolde,Nederland,Rolde,windmolen,korenmolen,8-kante grondzeiler,1873,6.6469981,52.9871552
Molen van Makkum,Nederland,Beilen/Makkum,windmolen,korenmolen,8-kante grondzeiler,1906,6.5450923,52.8480285
De Korenmolen,Nederland,Etten-Leur,windmolen,korenmolen,ronde stenen stellingmolen,1849,4.6671384,51.5868855
De Arend,Nederland,Wouw,windmolen,korenmolen,ronde stenen beltmolen,1811,4.3887158,51.5218976
Sancto Antonio,Nederland,Halsteren,windmolen,korenmolen,ronde stenen beltmolen,1817,4.2692644,51.528771
Torenmolen Gronsveld,Nederland,Maastricht/Gronsveld,windmolen,korenmolen,torenmolen beltmolen,1623,5.7316401,50.8093304
